,DMB006,MB002,MB511H,RCMB28,RCMB38,RCMB40,RCMB45,RCMB51
ENSG00000235169.11|SMIM1,22,4,22,5,12,0,10,27
ENSG00000158109.15|TPRG1L,410,470,733,448,286,296,220,298
ENSG00000116213.16|WRAP73,1200,1740,1475,766,722,940,642,541
ENSG00000078900.15|TP73,737,406,309,817,1659,0,1004,480
ENSG00000235131.1|TP73-AS2,0,0,0,0,0,0,0,0
ENSG00000227372.12|TP73-AS1,1987,1121,1712,2089,994,1320,663,943
ENSG00000162592.10|CCDC27,0,4,0,2,14,0,0,0
ENSG00000227589.1|TP73-AS3,0,0,0,9,0,0,0,0
ENSG00000276189.1|ENSG00000276189,0,0,0,1,1,0,1,1
ENSG00000130764.10|LRRC47,2730,3490,4075,2294,1151,2707,882,1134
ENSG00000266075.2|RN7SL574P,5,0,0,0,0,0,1,0
ENSG00000272153.1|ENSG00000272153,16,0,12,0,7,0,0,6
ENSG00000233304.7|LINC01346,0,5,5,0,7,0,10,11
ENSG00000226374.3|LINC01345,0,0,0,0,11,0,0,4
ENSG00000284703.1|ENSG00000284703,4,2,40,2,39,3,12,8
ENSG00000284668.2|LINC02780,0,0,0,0,0,0,3,0
ENSG00000229280.1|EEF1DP6,0,0,0,0,2,1,0,3
ENSG00000235054.4|LINC01777,0,0,0,0,0,0,0,4
ENSG00000116198.14|CEP104,1500,1279,1704,1290,939,734,612,686
ENSG00000169598.17|DFFB,535,946,859,298,184,683,149,234
ENSG00000198912.12|C1orf174,789,1338,1835,645,421,927,310,432
ENSG00000236423.8|LINC01134,36,0,17,4,16,6,8,26
ENSG00000227169.2|ENSG00000227169,0,0,0,0,0,0,0,0
ENSG00000284694.1|ENSG00000284694,0,0,0,0,11,0,7,11
ENSG00000232596.3|LINC01646,0,0,0,0,6,0,2,0
ENSG00000196581.11|AJAP1,39,8,275,543,32,173,111,13
ENSG00000287586.1|ENSG00000287586,0,0,0,0,4,0,7,0
ENSG00000284739.1|ENSG00000284739,0,0,0,0,0,0,0,0
ENSG00000284674.1|LINC02781,0,0,0,0,0,0,4,3
ENSG00000231510.1|LINC02782,0,0,0,0,0,0,0,0
ENSG00000284616.1|ENSG00000284616,0,0,0,0,5,0,0,0
ENSG00000284692.2|ENSG00000284692,0,0,0,0,4,0,10,2
ENSG00000284666.1|ENSG00000284666,0,0,0,0,0,0,0,0
ENSG00000260972.1|ENSG00000260972,0,0,0,0,0,0,0,0
