,BT084,DMB006,DMB012,MB002,MB511H,MED1712FH,RCMB28,RCMB32,RCMB38,RCMB40,RCMB45,RCMB51
ENSG00000089116.3,21,3,0,0,0,0,0,29,1508,9,56,33
ENSG00000264583.1,2,0,0,0,0,1,0,0,0,0,0,2
ENSG00000164114.18,1679,1718,1107,2187,1427,3435,1950,984,2200,1730,1050,2333
ENSG00000267552.6,0,16,36,0,71,13,13,0,23,49,9,0
ENSG00000224695.1,9,0,3,0,0,0,0,25,17,0,13,18
ENSG00000106038.12,11,0,17,110,0,0,30,8,15,0,5,7
ENSG00000281091.2,128,38,52,0,53,140,22,56,47,21,19,15
ENSG00000268895.5,69,10,188,160,297,175,94,110,15,135,12,179
ENSG00000114861.19,1663,4522,340,3461,3512,4625,2442,1843,667,2024,1198,1297
ENSG00000254542.1,4,0,0,0,0,1,0,13,8,0,2,4
ENSG00000237158.1,7,0,0,5,0,0,0,7,2,0,0,6
ENSG00000179632.9,3666,2804,2885,6016,8440,9366,3922,1435,1451,3869,1839,4549
ENSG00000205030.1,0,0,0,0,0,0,0,1,0,0,3,0
ENSG00000284829.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000243073.3,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000138193.15,764,1604,126,503,293,6628,504,145,717,741,592,70
ENSG00000240809.1,134,69,55,78,75,182,78,31,63,76,53,51
ENSG00000152942.18,1215,1312,704,1610,2201,2349,1247,0,881,1396,1090,1864
ENSG00000280004.1,0,0,0,0,0,0,0,1,1,0,0,0
ENSG00000224560.3,4,0,0,3,150,0,0,0,1,27,6,1385
ENSG00000158411.11,673,882,444,994,1223,2602,740,769,522,790,483,1024
ENSG00000172667.10,1664,665,718,1131,3052,2711,835,1052,120,1606,177,530
ENSG00000226802.1,2,0,2,0,0,0,0,5,0,0,0,0
ENSG00000227233.1,9,0,0,0,0,0,0,15,8,0,0,8
ENSG00000118363.11,949,1219,508,994,2365,2187,1241,739,473,1423,1142,1571
ENSG00000273311.1,60,308,92,235,193,318,206,116,169,170,110,334
ENSG00000135903.19,29,0,0,0,0,103,63,602,28,0,23,25
ENSG00000204314.11,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000121644.18,4155,4735,1988,7854,9069,8609,3545,1495,2134,4842,3918,4464
ENSG00000284176.1,1,1,2,1,1,1,1,1,1,1,1,2
ENSG00000205362.11,0,25,0,0,0,14,0,0,0,0,0,0
ENSG00000138495.6,1345,566,430,1056,1327,1224,600,479,513,893,545,1711
ENSG00000204528.3,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000223407.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000258120.1,0,0,0,0,0,0,0,14,5,0,0,14
ENSG00000253309.6,3,0,0,0,0,5,0,21,0,0,0,8
ENSG00000169992.9,0,0,0,0,0,930,1448,0,0,0,0,0
ENSG00000239344.1,45,199,124,103,248,69,164,35,19,111,53,112
ENSG00000101323.4,0,0,0,0,0,0,0,13,0,0,0,7
ENSG00000272456.1,5,0,2,0,0,0,0,0,3,0,0,2
ENSG00000263711.5,15,0,19,0,0,0,0,24,10,0,12,3
ENSG00000254988.1,0,0,0,0,0,0,0,5,0,0,0,0
ENSG00000127564.16,450,1611,247,1514,1412,969,720,221,782,1280,328,565
ENSG00000277998.1,438,117,281,1604,3568,693,522,305,61,913,162,711
ENSG00000226086.5,75,92,99,473,507,183,115,74,55,149,72,117
