gene_id,BT084,DMB012,MB002,MB511H,MED1712FH,RCMB28,RCMB32 ,RCMB40
ENSG00000269925.1|ENSG00000269925,31,17,36,51,29,40,13,14
ENSG00000049246.15|PER3,712,196,215,490,3638,1089,1197,810
ENSG00000236266.1|ENSG00000236266,0,0,0,0,0,0,6,0
ENSG00000049247.14|UTS2,1,0,0,1,0,0,8,0
ENSG00000171735.20|CAMTA1,1554,3059,2321,2295,2294,3933,1713,1801
ENSG00000237365.1|ENSG00000237365,0,0,0,0,0,0,3,0
ENSG00000207056.1|RNU1-8P,0,0,2,0,0,0,2,0
ENSG00000237728.2|CAMTA1-AS2,2,1,0,2,0,0,2,0
ENSG00000225126.1|CAMTA1-AS1,0,0,0,2,1,3,3,2
ENSG00000227950.1|ENSG00000227950,5,1,0,0,0,0,0,0
ENSG00000237402.1|CAMTA1-IT1,9,3,9,4,4,6,14,3
ENSG00000270171.1|ENSG00000270171,37,144,9,16,26,270,35,48
ENSG00000270035.1|ENSG00000270035,11,54,5,27,30,58,19,11
ENSG00000269978.1|ENSG00000269978,22,76,7,25,20,86,17,29
ENSG00000049249.10|TNFRSF9,29,0,0,0,0,5,42,5
ENSG00000270330.1|ENSG00000270330,0,0,0,0,0,0,3,0
ENSG00000116288.13|PARK7,3300,1545,6854,7930,9972,3191,1417,5077
ENSG00000200344.1|Y_RNA,0,0,0,0,0,0,0,0
ENSG00000116285.13|ERRFI1,1091,450,136,844,1065,539,507,686
ENSG00000284747.1|ENSG00000284747,68,42,9,45,19,34,46,19
ENSG00000284716.1|ENSG00000284716,8,3,2,0,0,0,6,0
ENSG00000238290.1|ERRFI1-DT,33,5,0,0,13,7,51,0
ENSG00000232848.1|RPL7AP18,153,0,760,967,0,201,71,459
ENSG00000200975.1|RNU1-7P,0,0,0,0,0,0,0,0
ENSG00000227634.3|LINC01714,5,0,0,0,0,0,6,0
ENSG00000229305.1|ENSG00000229305,12,0,0,0,0,0,8,0
ENSG00000288816.1|ENSG00000288816,4,0,0,0,0,0,4,0
ENSG00000233645.1|ENSG00000233645,3,0,0,0,0,0,0,0
ENSG00000162426.16|SLC45A1,96,106,4,40,288,298,81,28
ENSG00000252254.1|Y_RNA,1,1,0,0,0,3,0,0
ENSG00000142599.20|RERE,4265,4224,6772,4561,2994,5725,3242,4040
ENSG00000232912.6|RERE-AS1,0,0,0,0,0,0,6,0
ENSG00000221083.1|ENSG00000221083,6,7,9,2,2,15,2,1
ENSG00000270282.1|ENSG00000270282,5,0,0,0,0,0,1,0
ENSG00000234619.1|RPL7P11,140,59,506,943,213,137,86,225
ENSG00000224315.2|RPL7P7,76,46,62,60,25,82,27,25
ENSG00000222511.2|Y_RNA,7,9,7,3,0,8,11,4
ENSG00000226545.1|ENSG00000226545,5,1,1,0,0,1,6,0
ENSG00000228423.2|ENSG00000228423,25,12,23,14,11,55,29,15
ENSG00000229716.2|RPL23AP19,6,0,1,0,2,1,3,0
ENSG00000232208.2|ENSG00000232208,23,11,18,42,59,17,14,23
ENSG00000238249.2|HMGN2P17,310,69,336,339,569,229,171,263
ENSG00000131686.15|CA6,5,0,0,0,1,0,12,0
ENSG00000290109.1|ENSG00000290109,8,1,0,0,2,1,4,1
ENSG00000265141.2|RN7SL451P,2,0,0,0,0,0,1,0
ENSG00000197241.4|SLC2A7,5,0,0,0,0,0,0,0
ENSG00000142583.18|SLC2A5,32,0,5,11,0,43,50,25
ENSG00000180758.12|GPR157,13,16,2,54,28,27,19,9
ENSG00000284357.1|MIR34A,0,1,1,1,1,0,0,0
ENSG00000228526.8|MIR34AHG,58,193,36,562,893,44,103,152
ENSG00000234546.5|LNCTAM34A,4,4,0,26,26,0,12,0
ENSG00000252404.1|ENSG00000252404,3,0,0,0,0,0,1,0
ENSG00000289914.1|ENSG00000289914,2,8,0,12,20,2,12,0
ENSG00000049239.13|H6PD,610,596,460,950,1831,1698,354,1270
ENSG00000171621.14|SPSB1,13,10,162,1328,12,13,26,79
ENSG00000284652.1|ENSG00000284652,19,5,13,39,4,29,25,42
ENSG00000284693.2|LINC02606,66,11,48,148,97,138,64,110
ENSG00000252956.1|RNA5SP40,1,0,0,0,0,0,1,0
ENSG00000074800.16|ENO1,33929,7973,119182,117658,64259,12353,11267,74833
ENSG00000274258.1|MIR6728,6,0,8,3,2,3,1,4
ENSG00000230679.1|ENO1-AS1,10,0,25,12,23,8,3,10
ENSG00000235263.1|ENSG00000235263,0,0,0,0,0,0,0,0
ENSG00000188807.13|TMEM201,1245,363,3700,2170,1188,252,306,1619
ENSG00000171608.18|PIK3CD,25,41,16,29,25,218,58,29
ENSG00000233268.3|ENSG00000233268,0,0,0,0,0,0,3,0
ENSG00000231789.4|PIK3CD-AS2,0,0,0,14,0,20,12,0
ENSG00000271264.1|MZT1P1,0,0,0,0,0,0,0,0
ENSG00000280113.2|ENSG00000280113,6,2,3,0,10,6,20,3
ENSG00000285701.1|ENSG00000285701,0,0,0,0,0,0,0,0
ENSG00000171612.7|SLC25A33,880,220,2047,2249,1040,296,207,951
ENSG00000231181.1|ENSG00000231181,107,58,484,681,169,133,61,223
ENSG00000179840.5|PIK3CD-AS1,6,0,0,0,0,0,0,0
ENSG00000171603.18|CLSTN1,4347,4895,3636,1777,10333,8737,3252,1623
